state,avg_max_aqi,avg_x90th_percentile_aqi,avg_median_aqi,avg_days_with_aqi,avg_good_days,avg_moderate_days,avg_unhealthy_for_sensitive_groups_days,avg_unhealthy_days,avg_very_unhealthy_days,avg_hazardous_days,avg_days_co,avg_days_no2,avg_days_ozone,avg_days_pm2_5,avg_days_pm10,year
Michigan,122.58620689655173,64.06896551724138,40.172413793103445,228.13793103448276,167.31034482758622,58.275862068965516,2.413793103448276,0.13793103448275862,0,0,0.20689655172413793,0.3793103448275862,152.79310344827587,74.6896551724138,0.06896551724137931,11
Minnesota,104.04761904761905,61.666666666666664,39.38095238095238,281.04761904761904,188.95238095238096,90.71428571428571,1.3333333333333333,0.047619047619047616,0,0,0.9047619047619048,0.8095238095238095,81.23809523809524,195.95238095238096,2.142857142857143,11
Mississippi,103.42857142857143,62.5,48.142857142857146,265.7857142857143,145.78571428571428,118.85714285714286,1.1428571428571428,0,0,0,0,3.642857142857143,83.78571428571429,178.35714285714286,0,11
Missouri,114.14285714285714,63.142857142857146,43.142857142857146,283.85714285714283,181.04761904761904,100.38095238095238,2.3333333333333335,0.09523809523809523,0,0,0.19047619047619047,21.761904761904763,134.42857142857142,116.80952380952381,10.666666666666666,11
Montana,89.11111111111111,51.55555555555556,30.88888888888889,266.55555555555554,194.66666666666666,70,1.7777777777777777,0.1111111111111111,0,0,4.166666666666667,2.8333333333333335,21.72222222222222,213.77777777777777,24.055555555555557,11
Nebraska,95.33333333333333,50.5,30.25,187.33333333333334,157.16666666666666,29.75,0.25,0.08333333333333333,0.08333333333333333,0,8.583333333333334,0,59.083333333333336,81.41666666666667,38.25,11
Nevada,104.8,50.3,34.2,267,208,55.3,3.6,0.1,0,0,33.7,6.5,127.9,22.7,76.2,11
New Hampshire,108.85714285714286,59,37.285714285714285,307,241.85714285714286,63.42857142857143,1.7142857142857142,0,0,0,0.2857142857142857,10.285714285714286,192.71428571428572,103.42857142857143,0.2857142857142857,11
New Jersey,114.47058823529412,64,41.529411764705884,343.8235294117647,220.41176470588235,119.82352941176471,3.588235294117647,0,0,0,27.88235294117647,25.294117647058822,129.35294117647058,159.94117647058823,1.3529411764705883,11
New Mexico,88.16666666666667,47.22222222222222,31.77777777777778,276.77777777777777,221.05555555555554,54.44444444444444,1.1666666666666667,0.1111111111111111,0,0,0,4.722222222222222,148.16666666666666,92.27777777777777,31.61111111111111,11
New York,118.31428571428572,57.65714285714286,39.114285714285714,342.2,256.1714285714286,83.51428571428572,2.4285714285714284,0.08571428571428572,0,0,0.9428571428571428,8.057142857142857,219.85714285714286,113.11428571428571,0.22857142857142856,11
North Carolina,95.08695652173913,61.52173913043478,44.34782608695652,274,167.7391304347826,105.3695652173913,0.8695652173913043,0.021739130434782608,0,0,0,0.043478260869565216,120.04347826086956,152.58695652173913,1.326086956521739,11
North Dakota,67,44.111111111111114,31.333333333333332,324,305,18.77777777777778,0.2222222222222222,0,0,0,0,10.88888888888889,277.55555555555554,34.44444444444444,1.1111111111111112,11
Ohio,112.82051282051282,65.71794871794872,41.794871794871796,275.7435897435897,184.71794871794873,87.76923076923077,3.1538461538461537,0.10256410256410256,0,0,9,4.17948717948718,172.69230769230768,76.38461538461539,13.487179487179487,11
Oklahoma,115.23809523809524,66.14285714285714,44.23809523809524,334.42857142857144,205.57142857142858,125.61904761904762,3.0476190476190474,0.19047619047619047,0,0,0.047619047619047616,3.6666666666666665,181.04761904761904,137.52380952380952,12.142857142857142,11
Oregon,127.29166666666667,67,37.5,356.2916666666667,241.625,110.375,3.5833333333333335,0.6666666666666666,0.041666666666666664,0,0,0.125,39.916666666666664,316,0.25,11
Pennsylvania,113.75,65.97222222222223,45.611111111111114,328.3888888888889,184.25,140.5,3.5,0.1388888888888889,0,0,0.5,10.666666666666666,128.25,170.44444444444446,18.52777777777778,11
Puerto Rico,82.8,38.3,21.2,195.6,186.1,9.3,0,0.2,0,0,52.1,0,52,50,41.5,11
Rhode Island,115.33333333333333,63,40,289.6666666666667,213.66666666666666,73.33333333333333,2.6666666666666665,0,0,0,0,4.666666666666667,132.33333333333334,149.33333333333334,3.3333333333333335,11
South Carolina,85.6,54.6,39.4,318.85,238.05,80.45,0.35,0,0,0,0,0.35,200.65,91.5,26.35,11
South Dakota,136.88888888888889,54.888888888888886,36.888888888888886,336.6666666666667,269.55555555555554,66.22222222222223,0.5555555555555556,0.2222222222222222,0,0.1111111111111111,0,0.4444444444444444,151.44444444444446,138,46.77777777777778,11
Tennessee,101.41666666666667,56.416666666666664,37.25,279.3333333333333,212.125,66.08333333333333,1.0833333333333333,0.041666666666666664,0,0,0.16666666666666666,29.666666666666668,164.54166666666666,51.625,33.333333333333336,11
Texas,122.4888888888889,66.82222222222222,43.644444444444446,336.8,211.77777777777777,118.86666666666666,5.266666666666667,0.8444444444444444,0.044444444444444446,0,0.1111111111111111,3.066666666666667,164.2,168.7111111111111,0.7111111111111111,11
Utah,138.83333333333334,71.16666666666667,44.75,300.25,151,137.83333333333334,9.916666666666666,1.5,0,0,0.08333333333333333,17.416666666666668,146.16666666666666,134.75,1.8333333333333333,11
Vermont,111,64,40.333333333333336,363,246,115.33333333333333,1.6666666666666667,0,0,0,0.3333333333333333,7.666666666666667,119.66666666666667,235.33333333333334,0,11
Virgin Islands,94.66666666666667,51.333333333333336,21,156.66666666666666,137.33333333333334,19,0.3333333333333333,0,0,0,0,0,0,46,110.66666666666667,11
Virginia,83.12820512820512,50.666666666666664,33.717948717948715,241.07692307692307,189.17948717948718,51.53846153846154,0.358974358974359,0,0,0,2.769230769230769,39.94871794871795,120.43589743589743,67.53846153846153,10.384615384615385,11
Washington,96.66666666666667,59.13333333333333,35.166666666666664,345.43333333333334,249.13333333333333,94.36666666666666,1.7666666666666666,0.16666666666666666,0,0,0.06666666666666667,0.03333333333333333,21.866666666666667,319.1333333333333,4.333333333333333,11
West Virginia,94.53333333333333,63.93333333333333,44.733333333333334,280.53333333333336,165.46666666666667,114.53333333333333,0.5333333333333333,0,0,0,0.3333333333333333,0,106.26666666666667,150.66666666666666,23.266666666666666,11
Wisconsin,116.625,60.59375,38.25,249.53125,196.8125,50.46875,2.0625,0.1875,0,0,0.03125,2.21875,187.21875,57.875,2.1875,11
Wyoming,99.05882352941177,49.529411764705884,31.41176470588235,264.3529411764706,220.05882352941177,43.1764705882353,0.8235294117647058,0.29411764705882354,0,0,0.23529411764705882,1.8235294117647058,143.88235294117646,38.8235294117647,79.58823529411765,11
Alabama,112.94736842105263,72.3157894736842,51.05263157894737,282.2631578947368,123.21052631578948,154.73684210526315,4,0.3157894736842105,0,0,0,0,114.57894736842105,159.42105263157896,8.263157894736842,12
Alaska,92,48.875,24.125,262.125,207,50,4.125,1,0,0,1.5,0,56.5,196.875,7.25,12
Arizona,245.07692307692307,70.6923076923077,43.84615384615385,309.53846153846155,195,106.3076923076923,7.923076923076923,0.15384615384615385,0,0.15384615384615385,0,4.846153846153846,188.3846153846154,32.69230769230769,83.61538461538461,12
Arkansas,101.17647058823529,66.52941176470588,49.529411764705884,208.23529411764707,113.52941176470588,92.3529411764706,2.235294117647059,0.11764705882352941,0,0,0,2.6470588235294117,103.47058823529412,102.11764705882354,0,12
California,322.64150943396226,82.43396226415095,48.75471698113208,350.39622641509436,187.28301886792454,137,19.88679245283019,5.320754716981132,0.4716981132075472,0.4339622641509434,0.1509433962264151,5.735849056603773,188.37735849056602,145.24528301886792,10.88679245283019,12
Colorado,118.9375,61.75,37.46875,275.125,192.3125,77.40625,5.125,0.28125,0,0,0.78125,5.71875,172.5,29.28125,66.84375,12
Connecticut,152.625,74.75,41.875,313.625,216.625,85.25,10.625,1.125,0,0,1.625,13.625,190.125,108.25,0,12
Country Of Mexico,489.6666666666667,90.66666666666667,54.666666666666664,264,136.66666666666666,109,14,3.6666666666666665,0,0.6666666666666666,18,37.666666666666664,154.66666666666666,0,53.666666666666664,12
Delaware,168.66666666666666,91.33333333333333,49,325.3333333333333,164.66666666666666,138.66666666666666,18,4,0,0,0,1.6666666666666667,208.66666666666666,115,0,12
District Of Columbia,187,100,55,365,137,193,28,7,0,0,0,23,148,192,2,12
Florida,112.4054054054054,61.027027027027025,45.62162162162162,346.8918918918919,206.1081081081081,138.75675675675674,1.864864864864865,0.16216216216216217,0,0,0,0.1891891891891892,155.32432432432432,181.35135135135135,10.027027027027026,12
Georgia,133.15625,73.375,51.34375,294.6875,127.59375,162.875,3.6875,0.5,0.03125,0,0.125,4,97.03125,192.125,1.40625,12
Hawaii,129.66666666666666,64.33333333333333,47.333333333333336,357.6666666666667,174.33333333333334,178,4.333333333333333,1,0,0,0,0.3333333333333333,15,340,2.3333333333333335,12
Idaho,100.17647058823529,54,32.35294117647059,272.5882352941176,207.7058823529412,62,2.7058823529411766,0.17647058823529413,0,0,0,0.9411764705882353,43.8235294117647,188.35294117647058,39.470588235294116,12
Illinois,110.8,65.44,42.44,327.64,217.92,105.2,4.4,0.12,0,0,1.8,3.08,211,106.52,5.24,12
Indiana,113.34210526315789,76.57894736842105,50.8421052631579,240.78947368421052,112.73684210526316,123.94736842105263,4.052631578947368,0.05263157894736842,0,0,0.47368421052631576,0.6578947368421053,111.5,127.55263157894737,0.6052631578947368,12
Iowa,107.75,64.95,44.1,266.6,145.6,117.75,3.1,0.15,0,0,0,0.05,74.35,157.85,34.35,12
Kansas,103.21428571428571,57.285714285714285,35.642857142857146,284.64285714285717,216.64285714285714,65.5,2.5,0,0,0,0,6,181.85714285714286,57,39.785714285714285,12
Kentucky,116.625,71.875,47.1875,284.03125,161.5,117.09375,5.3125,0.125,0,0,0.3125,1.21875,178,101.65625,2.84375,12
Louisiana,128.30434782608697,70.30434782608695,47.34782608695652,321.0869565217391,175.2173913043478,138.30434782608697,7.217391304347826,0.34782608695652173,0,0,0,1.7826086956521738,168.65217391304347,150.6086956521739,0.043478260869565216,12
Maine,126,51.166666666666664,35.666666666666664,307.25,267.75,37.333333333333336,1.5833333333333333,0.5833333333333334,0,0,0,0.8333333333333334,206.41666666666666,96.08333333333333,3.9166666666666665,12
Maryland,173.4375,89.5625,49.1875,296.3125,153.3125,124,16.125,2.75,0.125,0,0.1875,4,185,107.125,0,12
Massachusetts,145.41666666666666,67.41666666666667,43,326.9166666666667,213.58333333333334,107,5.75,0.5833333333333334,0,0,0.16666666666666666,3.25,157.83333333333334,165.66666666666666,0,12
Michigan,119.67857142857143,67.60714285714286,40.25,240.82142857142858,173.78571428571428,63.392857142857146,3.5357142857142856,0.10714285714285714,0,0,0.03571428571428571,0.8214285714285714,172.60714285714286,67.25,0.10714285714285714,12
Minnesota,107.52380952380952,59.76190476190476,38.857142857142854,284.5238095238095,193.47619047619048,89.14285714285714,1.9047619047619047,0,0,0,0.7142857142857143,9.285714285714286,90.61904761904762,182,1.9047619047619047,12
Mississippi,114.61538461538461,67.53846153846153,50.23076923076923,294.6923076923077,142.07692307692307,149.07692307692307,3.5384615384615383,0,0,0,0,6.230769230769231,101.6923076923077,186.76923076923077,0,12
Missouri,126.42857142857143,76.14285714285714,47.333333333333336,288.9047619047619,158.47619047619048,123.52380952380952,6.619047619047619,0.2857142857142857,0,0,0.3333333333333333,10.857142857142858,146.42857142857142,120.14285714285714,11.142857142857142,12
Montana,101.84210526315789,57.10526315789474,33.421052631578945,286.3157894736842,208.31578947368422,73.21052631578948,4.2631578947368425,0.5263157894736842,0,0,2.210526315789474,1.0526315789473684,47.8421052631579,209.31578947368422,25.894736842105264,12
Nebraska,102,54.54545454545455,34,210.27272727272728,159.72727272727272,49.27272727272727,1.1818181818181819,0.09090909090909091,0,0,9,0,67.0909090909091,89.18181818181819,45,12
Nevada,98.6,55.2,33.1,291.8,231.6,56.2,4,0,0,0,33.9,5.9,145.8,17.9,88.3,12
New Hampshire,124.14285714285714,62.714285714285715,40,324.42857142857144,248.28571428571428,72.71428571428571,3.2857142857142856,0.14285714285714285,0,0,0.14285714285714285,1.4285714285714286,237.57142857142858,85.14285714285714,0.14285714285714285,12
New Jersey,161.8125,80.8125,44.25,346.9375,214.125,116.875,13.625,2.25,0.0625,0,6.4375,22.5,192.125,125.4375,0.4375,12
New Mexico,143.16666666666666,48,32.388888888888886,274.44444444444446,209.5,62.888888888888886,1.4444444444444444,0.16666666666666666,0.1111111111111111,0.3333333333333333,0,3.7222222222222223,155.66666666666666,83.38888888888889,31.666666666666668,12
New York,130.5,63.23529411764706,39.911764705882355,357.4117647058824,260.11764705882354,90.6470588235294,6.176470588235294,0.4411764705882353,0.029411764705882353,0,0.5,9.558823529411764,239.2058823529412,108.1470588235294,0,12
North Carolina,120.86666666666666,73.06666666666666,48.84444444444444,280.8888888888889,144.86666666666667,130.4,5.377777777777778,0.24444444444444444,0,0,0,0.15555555555555556,134.73333333333332,145.88888888888889,0.1111111111111111,12
North Dakota,87.77777777777777,49.888888888888886,36.44444444444444,304.1111111111111,247.22222222222223,56.77777777777778,0.1111111111111111,0,0,0,0.2222222222222222,13.88888888888889,195.88888888888889,92,2.111111111111111,12
Ohio,134.25,78.775,49.2,297.925,140.675,146.925,9.9,0.425,0,0,0.15,3.075,145.3,139.15,10.25,12
