state,avg_max_aqi,avg_x90th_percentile_aqi,avg_median_aqi,year,avg_max_aqi_2020,avg_x90th_percentile_aqi_2020,avg_median_aqi_2020
New Hampshire,183.5,74.8,39.1,2002,NA,NA,NA
New Jersey,194.58823529411765,106.23529411764706,42.35294117647059,2002,NA,NA,NA
New Mexico,106.5,54.94444444444444,29.833333333333332,2002,NA,NA,NA
New York,177.36111111111111,82.58333333333333,38.611111111111114,2002,NA,NA,NA
North Carolina,162.90196078431373,104,52.411764705882355,2002,NA,NA,NA
North Dakota,73.77777777777777,44,27.666666666666668,2002,NA,NA,NA
Ohio,174.52272727272728,107.43181818181819,47.97727272727273,2002,NA,NA,NA
Oklahoma,126.72,75.6,41.36,2002,NA,NA,NA
Oregon,125.94444444444444,68.11111111111111,36,2002,NA,NA,NA
Pennsylvania,196.2,108.37142857142857,48.114285714285714,2002,NA,NA,NA
Puerto Rico,66,47.6875,29.6875,2002,NA,NA,NA
Rhode Island,213,107.33333333333333,47,2002,NA,NA,NA
South Carolina,159.4814814814815,94.66666666666667,46.48148148148148,2002,NA,NA,NA
South Dakota,79.875,51.5,28.625,2002,NA,NA,NA
Tennessee,156.89285714285714,98.25,47.035714285714285,2002,NA,NA,NA
Texas,172.33333333333334,80.66666666666667,42.77777777777778,2002,NA,NA,NA
Utah,114.78571428571429,66.21428571428571,34.5,2002,NA,NA,NA
Vermont,151.5,69.5,37.75,2002,NA,NA,NA
Virgin Islands,73.33333333333333,52.333333333333336,27.666666666666668,2002,NA,NA,NA
Virginia,145.875,82.65,39.925,2002,NA,NA,NA
Washington,101.51851851851852,64.11111111111111,36.666666666666664,2002,NA,NA,NA
West Virginia,163.76470588235293,90.3529411764706,48.588235294117645,2002,NA,NA,NA
Wisconsin,145.5142857142857,79.82857142857142,40.31428571428572,2002,NA,NA,NA
Wyoming,105.4,55.46666666666667,28.333333333333332,2002,NA,NA,NA
Alabama,132.83333333333334,74.66666666666667,47.166666666666664,2003,NA,NA,NA
Alaska,143.28571428571428,46,20.285714285714285,2003,NA,NA,NA
Arizona,127.15384615384616,80.76923076923077,46.69230769230769,2003,NA,NA,NA
Arkansas,104.76190476190476,68.85714285714286,51.80952380952381,2003,NA,NA,NA
California,622.3888888888889,101.53703703703704,51.7037037037037,2003,NA,NA,NA
Canada,92.5,46.5,23.5,2003,NA,NA,NA
Colorado,112.17857142857143,58.92857142857143,32.17857142857143,2003,NA,NA,NA
Connecticut,189.875,85.875,46.25,2003,NA,NA,NA
Country Of Mexico,1046.6666666666667,117.66666666666667,64,2003,NA,NA,NA
Delaware,210.66666666666666,94.33333333333333,52,2003,NA,NA,NA
District Of Columbia,207,93,61,2003,NA,NA,NA
Florida,139.61111111111111,60.388888888888886,39.02777777777778,2003,NA,NA,NA
Georgia,134.42424242424244,78.03030303030303,48.93939393939394,2003,NA,NA,NA
Hawaii,92.5,36.25,21.75,2003,NA,NA,NA
Idaho,93.31818181818181,53.31818181818182,30.181818181818183,2003,NA,NA,NA
Illinois,141.92,73.52,38.72,2003,NA,NA,NA
Indiana,155.425,86.8,47.725,2003,NA,NA,NA
Iowa,104.0952380952381,66.04761904761905,41.095238095238095,2003,NA,NA,NA
Kansas,131.0625,70.0625,37.75,2003,NA,NA,NA
Kentucky,140.80555555555554,77.44444444444444,44,2003,NA,NA,NA
Louisiana,152.77777777777777,73.77777777777777,45.48148148148148,2003,NA,NA,NA
Maine,135.15384615384616,53.92307692307692,31.384615384615383,2003,NA,NA,NA
Maryland,205.53846153846155,91,45.92307692307692,2003,NA,NA,NA
Massachusetts,169.75,80,43.666666666666664,2003,NA,NA,NA
Michigan,174.27586206896552,83.93103448275862,44.48275862068966,2003,NA,NA,NA
Minnesota,121.55555555555556,69.44444444444444,42.5,2003,NA,NA,NA
Mississippi,125.52631578947368,77.6842105263158,50.94736842105263,2003,NA,NA,NA
Missouri,148.35,81.2,49.65,2003,NA,NA,NA
Montana,109.28571428571429,41.95238095238095,17.047619047619047,2003,NA,NA,NA
Nebraska,98.91666666666667,59.916666666666664,34.583333333333336,2003,NA,NA,NA
