"State","Year","Avg_Days_with_AQI","Avg_Good_Days","Avg_Moderate_Days","Avg_Unhealthy_for_Sensitive_Groups_Days","Avg_Unhealthy_Days","Avg_Very_Unhealthy_Days","Avg_Hazardous_Days","Avg_Max_AQI","Avg_90th_Percentile_AQI","Avg_Median_AQI","Avg_Days_CO","Avg_Days_NO2","Avg_Days_Ozone","Avg_Days_PM2.5","Avg_Days_PM10"
"Utah",2014,333.133333333333,237.866666666667,89.6,5.2,0.466666666666667,0,0,118.266666666667,62.8666666666667,42.8666666666667,0.0666666666666667,14.7333333333333,243.733333333333,73.6666666666667,0.933333333333333
"Utah",2015,341.428571428571,237.357142857143,97.9285714285714,5.85714285714286,0.285714285714286,0,0,127.142857142857,66.4285714285714,41.9285714285714,0,8,249,82.7857142857143,1.64285714285714
"Utah",2016,325.214285714286,220.357142857143,96.4285714285714,7.21428571428571,1.07142857142857,0.142857142857143,0,126.428571428571,65,41.0714285714286,0,7.85714285714286,232.142857142857,84.5,0.714285714285714
"Utah",2017,336.928571428571,200.857142857143,123.428571428571,11.0714285714286,1.42857142857143,0.142857142857143,0,138,74.5714285714286,45.7142857142857,0,6.57142857142857,252.5,77,0.857142857142857
"Utah",2018,347.8,200.533333333333,136.2,10.1333333333333,0.933333333333333,0,0,131.733333333333,79,45.8,0,7.13333333333333,266.066666666667,74.0666666666667,0.533333333333333
"Utah",2019,339.533333333333,236.6,97.2666666666667,4.8,0.6,0.266666666666667,0,126.466666666667,63.3333333333333,43.9333333333333,0,10.2,270,59,0.333333333333333
"Utah",2021,348.2,222.666666666667,112.533333333333,11.7333333333333,1.26666666666667,0,0,142.933333333333,75.6666666666667,43.8666666666667,0.133333333333333,4.4,270,71.1333333333333,2.53333333333333
"Vermont",1999,276.75,201.25,68.25,6.25,1,0,0,138.75,68.5,39,3.75,93.5,87.75,88.5,3.25
"Vermont",2000,268,208,57.5,2.25,0.25,0,0,134.75,62.75,35.75,5.5,76,81.5,102.75,2.25
"Vermont",2001,261.25,185,70,5.75,0.5,0,0,130.75,69.75,40.25,4.5,62.75,95.25,98.25,0.5
"Vermont",2002,287,215.5,62.75,6.5,2.25,0,0,151.5,69.5,37.75,8.25,61.75,124.75,91.75,0.5
"Vermont",2003,200.6,162,35.8,2.8,0,0,0,94.2,57.2,32.2,0.6,46.8,106.2,46,1
"Vermont",2004,249,203.4,43,2.4,0.2,0,0,107.2,54.8,29.4,3.8,51.4,108.8,72.6,12.4
"Vermont",2005,250.4,195.2,51.8,3.4,0,0,0,112.2,57.4,33.2,1.2,56.4,103.2,77.2,12.4
"Vermont",2006,255.4,214.6,39.6,1.2,0,0,0,95.4,52.4,28,3.8,51.4,111.2,76.6,12.4
"Vermont",2007,287.25,240.5,43.5,3,0.25,0,0,101.75,50.75,27,2.5,65.5,146.75,57.5,15
"Vermont",2008,283.25,189.25,91.5,2.5,0,0,0,107.25,54.25,35.5,0.25,5.5,94,170.75,12.75
"Vermont",2009,363,246,115.333333333333,1.66666666666667,0,0,0,111,64,40.3333333333333,0.333333333333333,7.66666666666667,119.666666666667,235.333333333333,0
"Vermont",2010,364.666666666667,258.333333333333,104.666666666667,1.33333333333333,0.333333333333333,0,0,124,64.3333333333333,39,0.333333333333333,19.3333333333333,137,208,0
"Vermont",2011,274,163.25,108.5,2.25,0,0,0,93.75,52.5,36.5,1.5,1.75,69.75,201,0
"Vermont",2012,302.75,222,79.5,1.25,0,0,0,94.5,56.5,35.25,0.75,7,118.75,176.25,0
"Vermont",2013,302.5,217.25,84,1.25,0,0,0,105,56.25,35.75,0.25,3.25,110.75,188.25,0
"Vermont",2014,303,227.5,74.75,0.75,0,0,0,86.5,57.25,33.75,0.25,8.25,101.25,193.25,0
"Vermont",2015,301.75,221,80,0.75,0,0,0,96,57,34,0,8.75,109.5,183.5,0
"Vermont",2016,301.5,259.75,41.5,0.25,0,0,0,84.75,48.25,31,0,1.75,179.5,120.25,0
"Vermont",2017,303,253,49.75,0.25,0,0,0,79,49.75,32,0.5,1.25,162,139,0.25
"Vermont",2018,303,242.75,60,0.25,0,0,0,84.5,52,32,0.25,0,146.75,156,0
"Vermont",2019,299.75,254.75,45,0,0,0,0,79.5,47,31.75,0,0.25,153,146.25,0.25
"Vermont",2021,303.25,243.5,59,0.75,0,0,0,103.5,50.25,32,0,0,135.25,168,0
"Virgin Islands",1999,150.333333333333,140.333333333333,10,0,0,0,0,80.6666666666667,49.6666666666667,23.3333333333333,0,0,100,26,24.3333333333333
"Virgin Islands",2000,153.666666666667,141.333333333333,12.3333333333333,0,0,0,0,84,53,31.6666666666667,0,0,105.666666666667,31.3333333333333,16.6666666666667
"Virgin Islands",2001,146,130.333333333333,15.6666666666667,0,0,0,0,80.3333333333333,50.6666666666667,26.3333333333333,0,0,84.3333333333333,47.3333333333333,14.3333333333333
"Virgin Islands",2002,141,123.666666666667,17.3333333333333,0,0,0,0,73.3333333333333,52.3333333333333,27.6666666666667,0,0,86,33.6666666666667,21.3333333333333
