"State","Year","WeightedAvg_Days_with_AQI","WeightedAvg_Good_Days","WeightedAvg_Moderate_Days","WeightedAvg_Unhealthy_for_Sensitive_Groups_Days","WeightedAvg_Unhealthy_Days","WeightedAvg_Very_Unhealthy_Days","WeightedAvg_Hazardous_Days","WeightedAvg_Max_AQI","WeightedAvg_90th_Percentile_AQI","WeightedAvg_Median_AQI","WeightedAvg_Days_CO","WeightedAvg_Days_NO2","WeightedAvg_Days_Ozone","WeightedAvg_Days_PM2.5","WeightedAvg_Days_PM10"
"New Hampshire",2012,338.32222709338,253.788250767207,81.7018851380973,2.83209118807541,0,0,0,117.476545374836,62.9438842612889,40.8965366067514,0.160455940377028,0,241.142042963612,97.0197281893906,0
"New Hampshire",2013,337.913710030661,243.631625054753,92.8431887866842,1.4388961892247,0,0,0,104.894437144109,61.0065703022339,41.3276390713973,0.1598773543583,0,214.176960140166,123.576872536137,0
"New Hampshire",2014,342.4852248394,247.769164882227,93.4946466809422,1.22141327623126,0,0,0,107.656102783726,57.0800856531049,41.6625267665953,0,0,203.254817987152,139.230406852248,0
"New Hampshire",2015,349.363331938049,266.118041021348,81.2925910422771,1.79991628296358,0.152783591460862,0,0,121.071578066136,56.6408539137715,40.7367099204688,0,0,229.014650481373,120.348681456676,0
"New Hampshire",2016,353.216857610475,303.12643207856,48.5945171849427,1.49590834697218,0,0,0,100.608428805237,53.8641571194763,37.4054828150573,0,0,282.058101472995,71.1587561374795,0
"New Hampshire",2017,356.359871330921,306.927221552071,48.5629272215521,0.726578206674709,0.143144350623241,0,0,105.095697627664,53.5367913148372,37.1958182549256,0.146763168476076,0,279.242058705267,76.9710494571773,0
"New Hampshire",2018,328.817855540601,280.917900403768,47.0439659039928,0.855989232839839,0,0,0,96.0592193808883,53.9075818752804,37.926424405563,0.163750560789592,0,235.69223867205,92.9618663077613,0
"New Hampshire",2019,338.455411255411,312.250649350649,26.0467532467532,0.158008658008658,0,0,0,78.6203463203463,48.6021645021645,36.3298701298701,0,0,256.068398268398,82.387012987013,0
"New Hampshire",2021,350.622185154295,299.258548790659,49.604670558799,1.75896580483736,0,0,0,125.428273561301,52.4683069224354,37.5079232693912,0,0,225.462468723937,125.007506255213,0.152210175145955
"New Jersey",1999,350.898571428571,226.27,92.7405357142857,17.52375,11.7510714285714,2.61321428571429,0,188.679464285714,98.015,40.9919642857143,52.5355357142857,67.98125,181.386071428571,48.2858928571429,0.709821428571429
"New Jersey",2000,350.726242371404,232.225980819529,98.8636442894507,14.5288578901482,3.96059285091543,1.14716652136007,0,186.272885789015,80.0892763731473,39.8284219703575,43.3328683522232,66.3734960767219,174.295030514385,66.3433304272014,0.38151700087184
"New Jersey",2001,348.188191881919,222.169038833245,97.0209102091021,19.6937269372694,7.40045686171147,1.90405904059041,0,188.41381128097,94.1173783166403,42.2764013354419,36.1714988578457,66.0405904059041,188.383412405553,57.3361447900193,0.256545422597083
"New Jersey",2002,350.225,219.257291666667,91.7967013888889,22.2555555555556,14.2140625,2.70138888888889,0,195.083506944444,106.726909722222,41.7628472222222,31.3881944444444,60.0095486111111,189.484895833333,69.215625,0.126736111111111
"New Jersey",2003,348.666491504642,232.274303730951,96.678577684358,15.6622876160448,2.81100017516202,1.24032229812577,0,185.651077246453,81.1854965843405,40.6016815554388,32.9278332457523,62.0464179365913,180.046417936591,73.2643194955334,0.38150289017341
"New Jersey",2004,348.899230230931,242.519244226732,93.2783414975507,11.1989153254024,1.90272918124563,0,0,154.14310706788,75.4165500349895,39.2652204338698,33.8714135759272,62.7739678096571,176.255248425472,75.8065080475857,0.192092372288313
"New Jersey",2005,348.731749912679,231.117708697171,94.6961229479567,17.4334614041216,5.37373384561649,0.110723017813482,0,164.348236115962,82.3395040167656,41.6342996856444,32.5111770869717,61.8480614739783,177.88543485854,76.106880894167,0.380195599022005
"New Jersey",2006,345.031476569408,201.394518125553,124.323253757737,15.574358974359,3.54588859416446,0.193457117595049,0,164.286648983201,80.2281167108753,44.3140583554377,33.5614500442087,34.0912466843501,144.667020335986,132.453580901857,0.258178603006189
"New Jersey",2007,350.792708333333,190.654340277778,139.299826388889,16.8767361111111,3.83506944444444,0.126736111111111,0,157.952777777778,83.6026041666667,45.7817708333333,33.7472222222222,24.3777777777778,133.376215277778,159.038368055556,0.253125
"New Jersey",2008,355.700119474313,197.991978153268,143.176992660864,12.847243556921,1.68390510325994,0,0,143.482334869432,75.6436251920123,45.4507595152756,29.3626898788189,29.0274790919952,130.582181259601,166.170677590032,0.557091653865847
"New Jersey",2009,354.342343883661,226.309837467921,124.265526090676,3.76698032506416,0,0,0,115.789563729683,64.0699743370402,41.6686056458512,28.9334473909324,26.8520102651839,134.003592814371,163.119076133447,1.43421727972626
