Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
2015,Malignant neoplasms (C00-C97),Cancer,Missouri,12965,173.4
2015,Malignant neoplasms (C00-C97),Cancer,Montana,2130,156.9
2015,Malignant neoplasms (C00-C97),Cancer,Nebraska,3514,157.8
2015,Malignant neoplasms (C00-C97),Cancer,Nevada,5015,157.2
2015,Malignant neoplasms (C00-C97),Cancer,New Hampshire,2773,161.3
2015,Malignant neoplasms (C00-C97),Cancer,New Jersey,16270,150.8
2015,Malignant neoplasms (C00-C97),Cancer,New Mexico,3591,143.3
2015,Malignant neoplasms (C00-C97),Cancer,New York,35089,148.4
2015,Malignant neoplasms (C00-C97),Cancer,North Carolina,19322,164.7
2015,Malignant neoplasms (C00-C97),Cancer,North Dakota,1320,152.9
2015,Malignant neoplasms (C00-C97),Cancer,Ohio,25396,175.1
2015,Malignant neoplasms (C00-C97),Cancer,Oklahoma,8280,184.3
2015,Malignant neoplasms (C00-C97),Cancer,Oregon,8093,160.2
2015,Malignant neoplasms (C00-C97),Cancer,Pennsylvania,28697,167.2
2015,Malignant neoplasms (C00-C97),Cancer,Rhode Island,2226,163.1
2015,Malignant neoplasms (C00-C97),Cancer,South Carolina,9950,166.6
2015,Malignant neoplasms (C00-C97),Cancer,South Dakota,1640,154
2015,Malignant neoplasms (C00-C97),Cancer,Tennessee,14214,180.5
2015,Malignant neoplasms (C00-C97),Cancer,Texas,39121,149.2
2015,Malignant neoplasms (C00-C97),Cancer,United States,595930,158.5
2015,Malignant neoplasms (C00-C97),Cancer,Utah,3091,125.2
2015,Malignant neoplasms (C00-C97),Cancer,Vermont,1399,165.3
2015,Malignant neoplasms (C00-C97),Cancer,Virginia,14947,159.5
2015,Malignant neoplasms (C00-C97),Cancer,Washington,12687,156.4
2015,Malignant neoplasms (C00-C97),Cancer,West Virginia,4839,190.4
2015,Malignant neoplasms (C00-C97),Cancer,Wisconsin,11423,159.3
2015,Malignant neoplasms (C00-C97),Cancer,Wyoming,931,139.4
2014,Malignant neoplasms (C00-C97),Cancer,Alabama,10286,177.6
2014,Malignant neoplasms (C00-C97),Cancer,Alaska,972,164.2
2014,Malignant neoplasms (C00-C97),Cancer,Arizona,11455,142.7
2014,Malignant neoplasms (C00-C97),Cancer,Arkansas,6546,183.1
2014,Malignant neoplasms (C00-C97),Cancer,California,58412,144.1
2014,Malignant neoplasms (C00-C97),Cancer,Colorado,7405,136
2014,Malignant neoplasms (C00-C97),Cancer,Connecticut,6621,146.7
2014,Malignant neoplasms (C00-C97),Cancer,Delaware,1972,167.3
2014,Malignant neoplasms (C00-C97),Cancer,District of Columbia,1116,178.6
2014,Malignant neoplasms (C00-C97),Cancer,Florida,43212,152.9
2014,Malignant neoplasms (C00-C97),Cancer,Georgia,16684,165.5
2014,Malignant neoplasms (C00-C97),Cancer,Hawaii,2493,140
2014,Malignant neoplasms (C00-C97),Cancer,Idaho,2795,155.4
2014,Malignant neoplasms (C00-C97),Cancer,Illinois,24501,168.9
2014,Malignant neoplasms (C00-C97),Cancer,Indiana,13519,179.7
2014,Malignant neoplasms (C00-C97),Cancer,Iowa,6504,166
